Disease,Drug
Paracoccidioidomycosis,itraconazole
Paracoccidioidomycosis,ketoconazole
Paraganglioma,iobenguane I 131
"Paragonimus westermani, Lung Fluke",praziquantel
Parkinson's Disease,carbidopa / levodopa
Parkinson's Disease,ropinirole
Parkinson's Disease,amantadine
Parkinson's Disease,pramipexole
Parkinson's Disease,selegiline
Parkinson's Disease,rasagiline
Parkinson's Disease,benztropine
Parkinson's Disease,trihexyphenidyl
Parkinson's Disease,entacapone
Parkinson's Disease,carbidopa / entacapone / levodopa
Parkinson's Disease Psychosis,pimavanserin
Parkinsonian Tremor,carbidopa
Parkinsonian Tremor,zonisamide
Parkinsonian Tremor,scopolamine
Parkinsonian Tremor,nadolol
Parkinsonian Tremor,belladonna
Parkinsonism,levodopa
Paronychia,nystatin
Paronychia,clotrimazole
Paronychia,mupirocin
Paronychia,econazole
Paronychia,bacitracin / neomycin / polymyxin b
Paronychia,bacitracin / hydrocortisone / neomycin / polymyxin b
Paronychia,gentamicin
Paroxysmal Supraventricular Tachycardia,flecainide
Paroxysmal Nocturnal Hemoglobinuria,eculizumab
Paroxysmal Nocturnal Hemoglobinuria,ravulizumab
Patency Maintenance of Indwelling Intravenous Devices,heparin flush
Patent Ductus Arteriosus,indomethacin
Patent Ductus Arteriosus,ibuprofen
Patent Ductus Arteriosus,alprostadil
Pathological Hypersecretory Conditions,ranitidine
Pathological Hypersecretory Conditions,esomeprazole
Pathological Hypersecretory Conditions,famotidine
Pathological Hypersecretory Disorder,magnesium oxide
Pseudobulbar Affect,dextromethorphan / quinidine
Polycystic Ovary Syndrome,metformin
Polycystic Ovary Syndrome,ethinyl estradiol / levonorgestrel
Polycystic Ovary Syndrome,desogestrel / ethinyl estradiol
Polycystic Ovary Syndrome,ethinyl estradiol / norethindrone
Polycystic Ovary Syndrome,drospirenone / ethinyl estradiol
Polycystic Ovary Syndrome,drospirenone / ethinyl estradiol / levomefolate calcium
Pediatric Angiocardiography,ioversol
Pediatric Growth Hormone Deficiency,somatropin
Pellagra,niacin
Pelvic Infections,ertapenem
Pelvic Infections,cilastatin / imipenem
Pelvic Inflammatory Disease,doxycycline
Pelvic Inflammatory Disease,metronidazole
Pelvic Inflammatory Disease,clindamycin
Pelvic Inflammatory Disease,azithromycin
Pelvic Inflammatory Disease,ceftriaxone
Pelvic Inflammatory Disease,levofloxacin
Pelvic Inflammatory Disease,cefotaxime
Pelvic Inflammatory Disease,ofloxacin
Pelvic Inflammatory Disease,ceftazidime
Pemphigoid,dapsone
Pemphigoid,prednisone
Pemphigoid,prednisolone
Pemphigoid,doxycycline
Pemphigoid,azathioprine
Pemphigoid,mycophenolate mofetil
Pemphigoid,methotrexate
Pemphigoid,minocycline
Pemphigoid,erythromycin
Pemphigoid,rituximab
Pemphigoid,tetracycline
Pemphigoid,cyclophosphamide
Pemphigus,prednisone
Pemphigus,dapsone
Pemphigus,niacinamide
Pemphigus,azathioprine
Pemphigus,prednisolone
Pemphigus,rituximab
Pemphigus,methotrexate
Pemphigus,mycophenolate mofetil
Pemphigus,dexamethasone
Pemphigus,doxycycline
Pemphigus,cyclophosphamide
Pemphigus,tetracycline
Pemphigus,cyclosporine
Pemphigus,minocycline
Pemphigus Vulgaris,rituximab
Penicillin Sensitization Testing,benzylpenicilloyl-polylysine
Peptic Ulcer,pantoprazole
Peptic Ulcer,famotidine
Peptic Ulcer,glycopyrrolate
Peptic Ulcer,chlordiazepoxide / clidinium
Peptic Ulcer,aluminum hydroxide
Peptic Ulcer,methscopolamine
Peptic Ulcer,propantheline
Peptic Ulcer,belladonna
Peptic Ulcer,clidinium
Percutaneous Coronary Intervention,clopidogrel
Percutaneous Coronary Intervention,eptifibatide
Percutaneous Coronary Intervention,bivalirudin
Percutaneous Coronary Intervention,cangrelor
Performance Anxiety,propranolol
Perimenopausal Symptoms,progesterone
Perimenopausal Symptoms,clonidine
Perimenopausal Symptoms,estradiol / progesterone
Perimenopausal Symptoms,ospemifene
Periodontitis,doxycycline
Periodontitis,chlorhexidine
Periodontitis,minocycline
Periodontitis,carbamide peroxide
Perioral Dermatitis,clindamycin
Perioral Dermatitis,metronidazole
Perioral Dermatitis,benzoyl peroxide
Perioral Dermatitis,erythromycin
Perioral Dermatitis,pimecrolimus
Perioral Dermatitis,tacrolimus
Peripheral Arterial Disease,clopidogrel
Peripheral Arterial Disease,vorapaxar
Peripheral Arterial Disease,rivaroxaban
Peripheral Arteriography,iodixanol
Peripheral Arteriography,iopromide
Peripheral Arteriography,ioversol
Peripheral Progenitor Cell Transplantation,filgrastim
Peripheral T-cell Lymphoma,pralatrexate
Peripheral T-cell Lymphoma,romidepsin
Peripheral T-cell Lymphoma,belinostat
Peritoneal dialysis,lvp solution
Peritonitis,clindamycin
Peritonitis,metronidazole
Peritonitis,ciprofloxacin
Peritonitis,vancomycin
Peritonitis,ceftazidime
Peritonitis,cefotaxime
Peritonitis,ceftriaxone
Peritonitis,albumin human
Peritonitis,cefazolin
Peritonitis,cilastatin / imipenem
Peritonitis,gentamicin
Peritonitis,piperacillin / tazobactam
Peritonitis,cefuroxime
Pernicious Anemia,cyanocobalamin
Postherpetic Neuralgia,gabapentin
Postherpetic Neuralgia,capsaicin
Postherpetic Neuralgia,nortriptyline
Postherpetic Neuralgia,pregabalin
Postherpetic Neuralgia,gabapentin enacarbil
Postherpetic Neuralgia,clonidine
Postherpetic Neuralgia,lidocaine
Pertussis,azithromycin
Pertussis,erythromycin
Pertussis,clarithromycin
Pertussis Prophylaxis,clarithromycin
Pertussis Prophylaxis,azithromycin
Pertussis Prophylaxis,"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Pertussis Prophylaxis,"diphtheria toxoid / pertussis, acellular / tetanus toxoid"
Pertussis Prophylaxis,"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Pertussis Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular"
Pertussis Prophylaxis,"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Pertussis Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Positron Emission Tomography Imaging,florbetapir F 18
Positron Emission Tomography Imaging,gallium ga 68 dotatate
Positron Emission Tomography Imaging,rubidium chloride rb-82
Positron Emission Tomography Imaging,flutemetamol f-18
Positron Emission Tomography Imaging,choline c-11
Positron Emission Tomography Imaging,florbetaben f-18
Positron Emission Tomography Imaging,fluciclovine F 18
Positron Emission Tomography Imaging,gallium ga-68 dotatoc
Peyronie's Disease,collagenase clostridium histolyticum
Pharyngitis,azithromycin
Pharyngitis,prednisone
Pharyngitis,cephalexin
Pharyngitis,erythromycin
Pharyngitis,clarithromycin
Pharyngitis,ampicillin
Pharyngitis,dicloxacillin
Phenylketonuria,sapropterin
Phenylketonuria,pegvaliase
Pheochromocytoma,phenoxybenzamine
Pheochromocytoma,labetalol
Pheochromocytoma,propranolol
Pheochromocytoma,metyrosine
Pheochromocytoma,phentolamine
Pheochromocytoma,iobenguane I 131
Pheochromocytoma Diagnosis,phentolamine
Pheochromocytoma Diagnosis,clonidine
Social Anxiety Disorder,sertraline
Social Anxiety Disorder,paroxetine
Social Anxiety Disorder,venlafaxine
Social Anxiety Disorder,fluvoxamine
Social Anxiety Disorder,risperidone
Social Anxiety Disorder,atomoxetine
Physical Urticaria,cetirizine
Physical Urticaria,fexofenadine
Physical Urticaria,loratadine
Pinworm Infection (Enterobius vermicularis),mebendazole
Pinworm Infection (Enterobius vermicularis),albendazole
Pinworm Infection (Enterobius vermicularis),pyrantel
Pituitary Adenoma,octreotide
Pityriasis rubra pilaris,triamcinolone
Pityriasis rubra pilaris,acitretin
Pityriasis rubra pilaris,methotrexate
Pityriasis rubra pilaris,urea
Pityriasis rubra pilaris,isotretinoin
Pityriasis rubra pilaris,lactic acid
Tinea Versicolor,ketoconazole
Tinea Versicolor,selenium sulfide
Tinea Versicolor,fluconazole
Tinea Versicolor,clotrimazole
Tinea Versicolor,econazole
Tinea Versicolor,miconazole
Tinea Versicolor,ciclopirox
Tinea Versicolor,itraconazole
Tinea Versicolor,terbinafine
Tinea Versicolor,tolnaftate
Plague Prophylaxis,levofloxacin
Plague Prophylaxis,ciprofloxacin
Plague Prophylaxis,moxifloxacin
Plantar Fasciitis,ibuprofen
Plantar Fasciitis,acetaminophen
Plaque Psoriasis,betamethasone
Plaque Psoriasis,calcipotriene
Plaque Psoriasis,apremilast
Plaque Psoriasis,betamethasone / calcipotriene
Plaque Psoriasis,methylprednisolone
Plaque Psoriasis,etanercept
Plaque Psoriasis,adalimumab
Plaque Psoriasis,secukinumab
Plaque Psoriasis,dexamethasone
Plaque Psoriasis,ixekizumab
Plaque Psoriasis,brodalumab
Plaque Psoriasis,hydroxyurea
Platelet Aggregation Inhibition,clopidogrel
Pleural Effusion,doxycycline
Pleural Effusion,sterile talc
Primary Mediastinal Large B-cell Lymphoma,pembrolizumab
Premenstrual Dysphoric Disorder,fluoxetine
Premenstrual Dysphoric Disorder,sertraline
Premenstrual Dysphoric Disorder,citalopram
Premenstrual Dysphoric Disorder,escitalopram
Premenstrual Dysphoric Disorder,paroxetine
Premenstrual Dysphoric Disorder,bupropion
Premenstrual Dysphoric Disorder,venlafaxine
Premenstrual Dysphoric Disorder,drospirenone / ethinyl estradiol
Premenstrual Dysphoric Disorder,drospirenone / ethinyl estradiol / levomefolate calcium
Premenstrual Dysphoric Disorder,acetaminophen / pamabrom / pyrilamine
Premenstrual Dysphoric Disorder,pamabrom
Premenstrual Syndrome,acetaminophen / pamabrom / pyrilamine
Premenstrual Syndrome,ethinyl estradiol / levonorgestrel
Premenstrual Syndrome,acetaminophen / caffeine / pyrilamine
Premenstrual Syndrome,pamabrom
Premenstrual Syndrome,acetaminophen / pamabrom
Pneumococcal Disease Prophylaxis,pneumococcal 13-valent vaccine
Pneumococcal Disease Prophylaxis,pneumococcal 23-polyvalent vaccine
Pneumocystis Pneumonia,dapsone
Pneumocystis Pneumonia,sulfamethoxazole / trimethoprim
Pneumocystis Pneumonia,atovaquone
Pneumocystis Pneumonia,pentamidine
Pneumocystis Pneumonia,clindamycin
Pneumocystis Pneumonia,trimethoprim
Pneumocystis Pneumonia,leucovorin
Pneumocystis Pneumonia,primaquine
Pneumocystis Pneumonia Prophylaxis,dapsone
Pneumocystis Pneumonia Prophylaxis,sulfamethoxazole / trimethoprim
Pneumocystis Pneumonia Prophylaxis,pentamidine
Pneumocystis Pneumonia Prophylaxis,atovaquone
Pneumocystis Pneumonia Prophylaxis,leucovorin
Pneumocystis Pneumonia Prophylaxis,pyrimethamine
Pneumonia with Cystic Fibrosis,ceftazidime
Pneumonia with Cystic Fibrosis,ciprofloxacin
Pneumonia with Cystic Fibrosis,cilastatin / imipenem
Pneumonia with Cystic Fibrosis,aztreonam
Pneumonia with Cystic Fibrosis,piperacillin
Poison Ivy,pramoxine / zinc acetate
Poison Oak,pramoxine / zinc acetate
Poison Sumac,pramoxine / zinc acetate
Poliomyelitis Prophylaxis,"poliovirus vaccine, inactivated"
Poliomyelitis Prophylaxis,"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Poliomyelitis Prophylaxis,"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Poliomyelitis Prophylaxis,"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Poliomyelitis Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Polychondritis,infliximab
Polycythemia Vera,hydroxyurea
Polycythemia Vera,ruxolitinib
Polymyalgia Rheumatica,prednisone
Polymyalgia Rheumatica,ibuprofen
Polymyositis/Dermatomyositis,prednisone
Polymyositis/Dermatomyositis,immune globulin intravenous
Polymyositis/Dermatomyositis,corticotropin
Pompe disease,alglucosidase alfa
Pork Tapeworm Infection (Taenia solium),praziquantel
Pork Tapeworm Infection (Taenia solium),paromomycin
Portal Hypertension,propranolol
Portal Hypertension,nadolol
Post-Cholecystectomy Diarrhea,cholestyramine
Rhinorrhea,ipratropium
Rhinorrhea,doxylamine
Rhinorrhea,acetaminophen / chlorpheniramine
Rhinorrhea,triprolidine
Rhinorrhea,acetaminophen / dextromethorphan / doxylamine / phenylephrine
Rhinorrhea,acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine
Rhinorrhea,brompheniramine / codeine
Rhinorrhea,chlophedianol / dexbrompheniramine
Rhinorrhea,dexbrompheniramine / phenylephrine
Rhinorrhea,dextromethorphan / pyrilamine
Post-Polio Syndrome,amantadine
Postanesthetic Shivering,ondansetron
Postanesthetic Shivering,clonidine
Postmenopausal Symptoms,estradiol
Postmenopausal Symptoms,conjugated estrogens
Postmenopausal Symptoms,estradiol / norethindrone
Postmenopausal Symptoms,gabapentin
Postmenopausal Symptoms,conjugated estrogens / medroxyprogesterone
Postmenopausal Symptoms,ethinyl estradiol / norethindrone
Postmenopausal Symptoms,estropipate
Postoperative Albumin Loss,albumin human
Postoperative Gas Pains,simethicone
Postoperative Gas Pains,vasopressin
Postoperative Ileus,alvimopan
Postoperative Increased Intraocular Pressure,nepafenac
Postoperative Increased Intraocular Pressure,apraclonidine
Postoperative Ocular Inflammation,prednisolone
Postoperative Ocular Inflammation,ketorolac
Postoperative Ocular Inflammation,bromfenac
Postoperative Ocular Inflammation,diclofenac
Postoperative Ocular Inflammation,nepafenac
Postoperative Ocular Inflammation,difluprednate
Postoperative Ocular Inflammation,loteprednol
Postoperative Ocular Inflammation,dexamethasone
Postoperative Ocular Inflammation,dexamethasone / tobramycin
Postoperative Pain,ketorolac
Postoperative Pain,fentanyl
Postoperative Pain,bupivacaine
Postpartum Bleeding,methylergonovine
Postpartum Bleeding,misoprostol
Postpartum Bleeding,oxytocin
Postpartum Bleeding,carboprost
Postpartum Breast Pain,testosterone
Postpartum Breast Pain,methyltestosterone
Pouchitis,metronidazole
Pouchitis,ciprofloxacin
Prader-Willi Syndrome,somatropin
Pre-Exposure Prophylaxis,emtricitabine / tenofovir
Pre-Exposure Prophylaxis,emtricitabine / tenofovir alafenamide
Precocious Puberty,tamoxifen
Precocious Puberty,leuprolide
Precocious Puberty,histrelin
Precocious Puberty,triptorelin
Precocious Puberty,nafarelin
Premature Ejaculation,fluoxetine
Premature Ejaculation,clomipramine
Premature Ejaculation,benzocaine
Premature Labor,progesterone
Premature Labor,nifedipine
Premature Labor,terbutaline
Premature Labor,hydroxyprogesterone
Premature Ventricular Depolarizations,metoprolol
Premature Ventricular Depolarizations,bisoprolol
Premature Ventricular Depolarizations,acebutolol
"Skin Disinfection, Preoperative",chlorhexidine
Prepubertal Cryptorchidism,chorionic gonadotropin (hcg)
Prevention of Atherothrombotic Events,ticagrelor
Prevention of Atherothrombotic Events,vorapaxar
Prevention of Cardiovascular Disease,atorvastatin
Prevention of Cardiovascular Disease,rosuvastatin
Prevention of Cardiovascular Disease,simvastatin
Prevention of Cardiovascular Disease,telmisartan
Prevention of Cardiovascular Disease,aspirin / omeprazole
Prevention of Cardiovascular Disease,amlodipine / atorvastatin
Prevention of Dental Caries,fluoride
Prevention of Falls,cholecalciferol
Prevention of Fractures,cholecalciferol
Prevention of Hypokalemia,potassium chloride
Prevention of Hypokalemia,potassium gluconate
Prevention of Hypokalemia,potassium bicarbonate
Prevention of Hypokalemia,potassium bicarbonate / potassium chloride
Prevention of Osteoporosis,alendronate
Prevention of Osteoporosis,raloxifene
Prevention of Osteoporosis,ibandronate
Prevention of Osteoporosis,risedronate
Prevention of Osteoporosis,zoledronic acid
Prevention of Osteoporosis,ethinyl estradiol / norethindrone
Prevention of Osteoporosis,bazedoxifene / conjugated estrogens
Prevention of Osteoporosis,estradiol / levonorgestrel
Prevention of Perinatal Group B Streptococcal Disease,clindamycin
Prevention of Perinatal Group B Streptococcal Disease,ampicillin
Prevention of Perinatal Group B Streptococcal Disease,cefazolin
Prevention of Perinatal Group B Streptococcal Disease,vancomycin
Prevention of Perinatal Group B Streptococcal Disease,penicillin g sodium
Prevention of Perinatal Group B Streptococcal Disease,penicillin g potassium
Prevention of Phototoxicity in Erythropoietic Protoporphyria,afamelanotide
Prevention of Radiographic Contrast Nephropathy,fenoldopam
Prevention of Sunburn,zinc oxide
Prevention of Thromboembolism in Atrial Fibrillation,warfarin
Prevention of Thromboembolism in Atrial Fibrillation,aspirin
Prevention of Thromboembolism in Atrial Fibrillation,apixaban
Prevention of Thromboembolism in Atrial Fibrillation,dabigatran
Prevention of Thromboembolism in Atrial Fibrillation,rivaroxaban
Prevention of Thromboembolism in Atrial Fibrillation,edoxaban
Primary Hyperaldosteronism,spironolactone
Primary Hyperaldosteronism Diagnosis,spironolactone
Primary Hyperparathyroidism,cinacalcet
Primary IGF-1 Deficiency,mecasermin
Primary Immunodeficiency Syndrome,immune globulin intravenous
Primary Immunodeficiency Syndrome,immune globulin subcutaneous
Primary Immunodeficiency Syndrome,immune globulin intravenous and subcutaneous
Primary Immunodeficiency Syndrome,hyaluronidase / immune globulin
Primary Nocturnal Enuresis,desmopressin
Primary Nocturnal Enuresis,imipramine
Primary Nocturnal Enuresis,nortriptyline
Primary Ovarian Failure,estradiol
Primary Ovarian Failure,conjugated estrogens
Primary Ovarian Failure,conjugated estrogens / medroxyprogesterone
Primary Ovarian Failure,estropipate
Primary Ovarian Failure,esterified estrogens
Primary Ovarian Failure,ethinyl estradiol
Primary Periodic Paralysis,dichlorphenamide
Proctitis,hydrocortisone
Proctitis,doxycycline
Proctitis,ceftriaxone
Production of Miosis,carbachol
Production of Miosis,pilocarpine
Production of Miosis,acetylcholine
Progesterone Insufficiency,progesterone
Transurethral Prostatectomy,fosfomycin
"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",warfarin
"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",aspirin
"Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis",warfarin
Protein C Deficiency,protein c
Protein S Deficiency,warfarin
Pruritus of Partial Biliary Obstruction,cholestyramine
Pseudoallescheriosis,voriconazole
"Pseudogout, Prophylaxis",colchicine
Pseudohypoparathyroidism,calcium lactate
Pseudohypoparathyroidism,"calcium phosphate, tribasic"
Psittacosis,doxycycline
Psittacosis,tetracycline
Psittacosis,chloramphenicol
Psittacosis,minocycline
Psoriatic Arthritis,methotrexate
Psoriatic Arthritis,prednisone
Psoriatic Arthritis,sulfasalazine
Psoriatic Arthritis,leflunomide
Psoriatic Arthritis,etanercept
Psoriatic Arthritis,infliximab
Psoriatic Arthritis,adalimumab
Psoriatic Arthritis,apremilast
Psoriatic Arthritis,secukinumab
Psoriatic Arthritis,dexamethasone
Psoriatic Arthritis,triamcinolone
Psoriatic Arthritis,certolizumab
Psoriatic Arthritis,ustekinumab
Somatoform Pain Disorder,amitriptyline
Somatoform Pain Disorder,venlafaxine
Somatoform Pain Disorder,sertraline
Somatoform Pain Disorder,escitalopram
Somatoform Pain Disorder,fluoxetine
Somatoform Pain Disorder,imipramine
Somatoform Pain Disorder,duloxetine
Somatoform Pain Disorder,milnacipran
Somatoform Pain Disorder,citalopram
Somatoform Pain Disorder,paroxetine
Somatoform Pain Disorder,fluvoxamine
Somatoform Pain Disorder,desvenlafaxine
Psychosis,haloperidol
Psychosis,perphenazine
Psychosis,chlorpromazine
Psychosis,fluphenazine
Psychosis,prochlorperazine
Psychosis,thiothixene
Psychosis,iloperidone
Pubertal Gynecomastia,anastrozole
Pubertal Gynecomastia,clomiphene
Pudendal Neuralgia,gabapentin
Pudendal Neuralgia,amitriptyline
Pulmonary Edema,furosemide
Pulmonary Edema,bumetanide
Pulmonary Edema,ethacrynic acid
Pulmonary Embolism,rivaroxaban
Pulmonary Embolism,apixaban
Pulmonary Embolism,heparin
Pulmonary Embolism,fondaparinux
Pulmonary Embolism,dabigatran
Pulmonary Embolism,alteplase
Pulmonary Embolism,edoxaban
Pulmonary Embolism,urokinase
"Pulmonary Embolism, First Event",warfarin
"Pulmonary Embolism, Recurrent Event",warfarin
"Pulmonary Embolism, Recurrent Event",rivaroxaban
Pulmonary Tuberculosis,dexamethasone
Pupillary Dilation,atropine
Pupillary Dilation,phenylephrine
Pupillary Dilation,tropicamide
Pupillary Dilation,cyclopentolate
Pupillary Dilation,epinephrine
Pyoderma Gangrenosum,infliximab
Q Fever,doxycycline
Q Fever,minocycline
Rabbit Fever (Tularemia),doxycycline
Rabbit Fever (Tularemia),streptomycin
Rabbit Fever (Tularemia),ciprofloxacin
Rabbit Fever (Tularemia),gentamicin
Rabbit Fever (Tularemia),tobramycin
Rabbit Fever (Tularemia),chloramphenicol
Rabbit Fever (Tularemia),minocycline
Rabies Prophylaxis,"rabies immune globulin, human"
Rabies Prophylaxis,"rabies vaccine, purified chick embryo cell"
Rabies Prophylaxis,"rabies vaccine, human diploid cell"
Radiation Emergency,potassium iodide
Radiation Emergency,pentetate calcium trisodium
Radiation Emergency,prussian blue
Radiation Emergency,pentetate zinc trisodium
Radiographic Exam,metoclopramide
Radionuclide Myocardial Perfusion Study,dipyridamole
Radionuclide Myocardial Perfusion Study,adenosine
Radionuclide Myocardial Perfusion Study,regadenoson
Rat-bite Fever,penicillin v potassium
Rat-bite Fever,penicillin g sodium
Rat-bite Fever,penicillin g potassium
Rat-bite Fever,procaine penicillin
Raynaud's Syndrome,nifedipine
Raynaud's Syndrome,amlodipine
Raynaud's Syndrome,diltiazem
Raynaud's Syndrome,nitroglycerin
Raynaud's Syndrome,felodipine
Raynaud's Syndrome,prazosin
Raynaud's Syndrome,trolamine salicylate
Raynaud's Syndrome,doxazosin
Raynaud's Syndrome,isoxsuprine
Raynaud's Syndrome,isradipine
Raynaud's Syndrome,nisoldipine
Reactive Perforating Collangenosis,allopurinol
Reduction of Perinatal Transmission of HIV,zidovudine
Reduction of Perinatal Transmission of HIV,nevirapine
"Refraction, Assessment",cyclopentolate
"Refraction, Assessment",atropine
"Refraction, Assessment",tropicamide
"Refraction, Assessment",homatropine
Rejection Prophylaxis,mycophenolic acid
Rejection Prophylaxis,belatacept
Rejection Prophylaxis,muromonab-cd3
Rejection Reversal,muromonab-cd3
Renal Arteriography,iodixanol
Renal Arteriography,ioversol
Renal Osteodystrophy,calcitriol
Renal Osteodystrophy,ergocalciferol
Renal Osteodystrophy,calcifediol
Renal Transplant,furosemide
Renal Transplant,azathioprine
Renal Transplant,anti-thymocyte globulin (rabbit)
Renal Transplant,"lymphocyte immune globulin, anti-thy (equine)"
Renal Tubular Acidosis,potassium citrate
Respiratory Failure,nitric oxide
Respiratory Failure,caffeine / sodium benzoate
Upper Respiratory Tract Infection,amoxicillin
Upper Respiratory Tract Infection,doxycycline
Upper Respiratory Tract Infection,azithromycin
Upper Respiratory Tract Infection,cephalexin
Upper Respiratory Tract Infection,clarithromycin
Upper Respiratory Tract Infection,amoxicillin / clavulanate
Upper Respiratory Tract Infection,sulfamethoxazole / trimethoprim
Upper Respiratory Tract Infection,cefuroxime
Upper Respiratory Tract Infection,erythromycin
Upper Respiratory Tract Infection,cefixime
Upper Respiratory Tract Infection,ampicillin
Retinal Disorders,voretigene neparvovec
Retinopathy,ranibizumab
Retinopathy Prophylaxis,vitamin e
"Revascularization Procedures, Prophylaxis",aspirin
"Revascularization Procedures, Prophylaxis",pravastatin
Reversal of Acquired Coagulation Factor Deficiency,prothrombin complex
Reversal of Anesthesia,phentolamine
Reversal of Anticoagulation,coagulation factor Xa
Reversal of Dabigatran Anticoagulation,idarucizumab
Reversal of Neuromuscular Blockade,neostigmine
Reversal of Neuromuscular Blockade,sugammadex
Reversal of Nondepolarizing Muscle Relaxants,pyridostigmine
Reversal of Nondepolarizing Muscle Relaxants,neostigmine
Reversal of Nondepolarizing Muscle Relaxants,sugammadex
Reversal of Nondepolarizing Muscle Relaxants,atropine / edrophonium
Reversal of Opioid Sedation,naloxone
Reversal of Sedation,flumazenil
"Reversible Airways Disease, Maintenance",budesonide
"Reversible Airways Disease, Maintenance",beclomethasone
Rh-Isoimmunization,rho (d) immune globulin
Rhabdomyosarcoma,vincristine
Rhabdomyosarcoma,dactinomycin
Rheumatic Fever,aspirin
Rheumatic Fever Prophylaxis,penicillin v potassium
Rheumatic Fever Prophylaxis,erythromycin
Rheumatic Fever Prophylaxis,sulfadiazine
Rheumatic Fever Prophylaxis,penicillin g benzathine
Rhinitis,fluticasone
Rhinitis,brompheniramine / phenylephrine
Rhinitis,chlorpheniramine / methscopolamine / phenylephrine
Rickets,calcitriol
Rickets,ergocalciferol
Rickettsial Infection,doxycycline
Rickettsial Infection,chloramphenicol
Rickettsial Infection,tetracycline
Rubella,immune globulin intramuscular
Rubella Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine
Rubella Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine
Salivary Gland Cancer,trastuzumab
Salmonella Enteric Fever,ciprofloxacin
Salmonella Enteric Fever,ofloxacin
Salmonella Enteric Fever,ceftriaxone
Salmonella Gastroenteritis,ciprofloxacin
Salmonella Gastroenteritis,ceftriaxone
Salmonella Gastroenteritis,ofloxacin
Salmonella Gastroenteritis,cefotaxime
SAPHO Syndrome,etanercept
SAPHO Syndrome,infliximab
Sarcoidosis,prednisone
Sarcoidosis,azathioprine
Sarcoidosis,corticotropin
Sarcoidosis,chloroquine
Sarcoidosis,dexamethasone
Sarcoidosis,infliximab
Sarcoidosis,triamcinolone
Sarcoidosis,colchicine
Sarcoidosis,adalimumab
Sarcoidosis,cortisone
Small Bowel Bacterial Overgrowth,amoxicillin / clavulanate
Scabies,permethrin
Scabies,ivermectin
Scabies,crotamiton
Scabies,lindane
Streptococcal Infection,levofloxacin
Streptococcal Infection,penicillin v potassium
Streptococcal Infection,procaine penicillin
Streptococcal Infection,penicillin g benzathine / procaine penicillin
Streptococcal Infection,penicillin g benzathine
Streptococcal Infection,penicillin g potassium
Streptococcal Infection,penicillin g sodium
Schilling Test,cyanocobalamin
Schilling Test,hydroxocobalamin
Schistosoma haematobium,praziquantel
Schistosoma japonicum,praziquantel
Schistosoma mansoni,praziquantel
Schistosoma mekongi,praziquantel
Schizoaffective Disorder,quetiapine
Schizoaffective Disorder,lithium
Schizoaffective Disorder,risperidone
Schizoaffective Disorder,lamotrigine
Schizoaffective Disorder,olanzapine
Schizoaffective Disorder,aripiprazole
Schizoaffective Disorder,carbamazepine
Schizoaffective Disorder,ziprasidone
Schizoaffective Disorder,fluoxetine
Schizoaffective Disorder,paliperidone
Schizoaffective Disorder,lurasidone
Schnitzler Syndrome,anakinra
Sciatica,cyclobenzaprine
Sciatica,naproxen
Sciatica,diclofenac
Sciatica,ibuprofen
Sciatica,acetaminophen
Sciatica,diclofenac / misoprostol
Sciatica,aspirin
Systemic Sclerosis-Associated Interstitial Lung Disease,nintedanib
Venomous Scorpion Bite,antivenom (centruroides scorpion)
Scrapes,vitamin a & d
Scrapes,benzethonium chloride
Scurvy,ascorbic acid
Seasonal Affective Disorder,bupropion
Seasonal Allergic Conjunctivitis,olopatadine
Seasonal Allergic Conjunctivitis,ketorolac
Seasonal Allergic Conjunctivitis,loteprednol
Seborrheic Dermatitis,ketoconazole
Seborrheic Dermatitis,clobetasol
Seborrheic Dermatitis,ciclopirox
Seborrheic Dermatitis,hydrocortisone
Seborrheic Dermatitis,selenium sulfide
Seborrheic Dermatitis,prednisone
Seborrheic Dermatitis,fluocinolone
